            nazwa pojemnosc_uzytkowa_chlodziarki
1  Whirlpool_W7_9210_KAQUA                            237
2      Samsung_RB37J5000SA                            269
3      Sharp_SJBA05DMXW1EU                            194
4              MPM_217CZ19                            171
5            LG_GSJ361DIDV                            394
6      Samsung_RS62R50412C                            418
7       Beko_RCNA406I30ZXB                            253
8      Samsung_RB33N341MSS                            217
9      Samsung_RB29FSRNDSA                            192
10          Indesit_LR8S1K                            228
11            Amica_FK2004                            109
12     Whirlpool_W4D7AAAXC                            292
13     Samsung_RS50N3513SA                            357
14     Samsung_RB37J501MB1                            255
15     Samsung_RS50N3913BC                            357
   pojemnosc_uzytkowa_zamrazarki cena
1                            104 1899
2                             98 1799
3                             70 1399
4                             41  799
5                            197 4199
6                            229 4699
7                            109 1699
8                             98 2099
9                             98 1599
10                           111 1199
11                            48  999
12                           110 2599
13                           144 3499
14                            98 2199
15                           144 4099
> 
